year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1839,00,00,-1,-2,-1,+1,00,-1,00,+1,+1,00
1840,00,00,-2,+1,00,00,-2,-1,00,-2,+1,-3
1841,00,-2,+1,+1,+2,-1,-2,-1,+1,+1,00,+1
1842,-1,-1,00,-1,00,00,-1,+2,00,-2,-2,00
1843,+1,+1,-1,00,-1,-2,-1,00,00,00,00,+1
1844,00,-1,-1,+1,00,00,-2,-2,00,00,+1,-2
1845,00,-2,-3,00,-2,+1,00,-2,-1,00,+1,+1
1846,+1,+1,+1,00,00,+1,+1,+2,+1,+1,-1,-1
1847,-1,-1,-1,-2,+1,-2,00,+1,-2,-1,00,-1
1848,-3,+1,+1,+1,00,+1,-1,-1,-1,00,00,00
1849,00,+1,-1,-1,00,00,-1,-2,-1,00,-1,-1
1850,-2,+1,-1,00,-1,00,-1,-1,-2,-2,+1,00
1851,00,00,00,00,-2,00,-1,00,-2,+1,-2,00
1852,+1,00,-1,-2,00,00,+1,00,00,-1,+2,+2
1853,+1,-1,-3,-2,-1,00,00,00,-1,00,-1,-2
1854,00,00,00,00,00,-1,00,-1,00,00,-2,+1
1855,-1,-2,-1,-1,-1,00,-1,00,-1,+1,-1,-2
1856,00,+1,-1,+1,-1,00,-2,00,-1,+1,-2,00
1857,00,-1,00,00,00,00,+1,+2,+1,+1,-1,+1
1858,-1,-2,-1,00,-1,+3,-1,00,+1,00,-3,00
1859,00,+1,+1,00,00,+1,+2,+2,00,+1,-1,-1
1860,+1,-1,-1,-1,00,00,-2,-1,-1,-1,-1,-1
1861,-2,+1,+1,-1,-2,+1,00,+1,00,+1,00,00
1862,00,00,+1,+1,+1,-1,-1,-1,00,+1,00,00
1863,+1,+1,+1,00,00,00,-1,+1,-1,+1,00,+1
1864,-2,-1,+1,-1,-2,-1,-1,-2,-1,-1,-1,-2
1865,00,-2,-2,+2,+2,-1,+1,-1,+1,00,+1,00
1866,+1,+1,00,+1,-2,+2,-1,-2,+1,-1,00,00
1867,00,+2,-1,00,-1,00,-1,00,+1,-1,-1,-1
1868,00,+1,00,00,+3,+1,+1,+1,+2,00,-1,+2
1869,00,+2,-1,+2,00,-2,+1,-1,+1,-1,00,00
1870,00,-2,-1,00,00,00,+1,-1,-1,00,+1,-2
1871,-2,00,+1,00,-2,-2,00,+1,00,-2,-2,-2
1872,00,00,+1,+1,00,00,+1,-1,+1,+1,+2,+1
1873,+1,00,+1,-1,-2,00,+1,+1,-1,+1,+1,00
1874,+1,00,00,+1,-2,00,+2,-1,+1,+1,-1,-1
1875,+1,-2,-1,00,+1,+1,00,+1,00,-1,-1,-1
1876,-1,00,00,+1,-3,00,00,+1,-1,+1,-2,+1
1877,+1,+1,-1,-1,-2,+2,00,+1,-2,-1,+1,00
1878,00,+1,00,+1,00,00,-1,00,+1,+1,00,-1
1879,-1,00,-1,-1,-2,00,-2,00,00,00,-2,-3
1880,-1,00,+1,+1,-1,-1,00,00,+1,-1,00,+2
1881,-1,00,00,-2,00,-1,+1,-1,-1,-3,+1,00
1882,00,+1,+2,00,00,-1,-1,-2,00,00,00,00
1883,00,+1,-2,-1,00,00,-1,-1,00,00,00,00
1884,+2,+1,+1,-1,00,-2,+1,00,+1,00,-1,+1
1885,-1,+1,00,+1,-2,+1,00,-2,-1,-1,00,00
1886,00,-1,-1,00,00,-1,00,00,+2,+1,+1,00
1887,-1,-1,-1,00,-2,00,+1,-1,-1,-2,00,-1
1888,00,-1,-1,-1,00,00,-2,-1,00,-2,00,00
1889,-1,-1,-2,00,+2,+2,-1,-1,-2,00,00,-1
1890,+1,-1,+1,00,+1,-1,-1,00,00,-1,00,-3
1891,-1,00,00,-2,00,-1,-1,-1,00,+1,-1,+1
1892,00,00,-1,00,00,-1,-1,+1,00,-1,00,-1
1893,-2,00,+1,+1,00,00,00,00,-1,+1,-1,00
1894,00,+1,+1,+2,-1,-1,00,-1,-2,-1,+1,00
1895,-1,-3,-1,+1,00,00,00,00,+2,-1,+1,00
1896,00,00,+1,-1,-1,+1,00,-2,00,00,-1,00
1897,-1,00,+1,00,-1,+1,00,00,-1,-1,-1,00
